source_id,event_id,source_type,institution,domain,title,publication_date,url,relevance_level,used_for,status,notes
SRC_TO_2021_01_A,TO_2021_01,news,STJ,stj.jus.br,STJ afasta governador do Tocantins por 180 dias em investigacao sobre desvios no plano de saude dos servidores,2021-10-20,https://www.stj.jus.br/sites/portalp/Paginas/Comunicacao/Noticias/20102021-STJ-afasta-governador-do-Tocantins-por-180-dias-em-investigacao-sobre-desvios-no-plano-de-saude-dos-servidores.aspx,high,initial_removal,used,Base primaria institucional
SRC_TO_2021_01_B,TO_2021_01,news,STJ,stj.jus.br,STJ envia processos contra ex-governador do Tocantins para o primeiro grau apos a renuncia do mandato,2022-03-28,https://www.stj.jus.br/sites/portalp/Paginas/Comunicacao/Noticias/28032022-STJ-envia-processos-contra-ex-governador-do-Tocantins-para-o-primeiro-grau-apos-a-renuncia-do-mandato.aspx,high,renunciation_confirmation,used,Confirma renuncia em 11 de marco de 2022
SRC_TO_2025_01_A,TO_2025_01,news,STJ,stj.jus.br,Corte Especial confirma afastamento do governador de Tocantins por 180 dias,2025-09-03,https://www.stj.jus.br/sites/portalp/Paginas/Comunicacao/Noticias/2025/03092025-Corte-Especial-confirma-afastamento-do-governador-de-Tocantins-por-180-dias.aspx,high,initial_removal,used,Base primaria institucional
SRC_TO_2025_01_B,TO_2025_01,news,Metropoles,metropoles.com,STF Nunes Marques devolve cargo a Wanderlei Barbosa governador do TO,2025-12-05,https://www.metropoles.com/brasil/stf-nunes-marques-devolve-cargo-a-wanderlei-barbosa-governador-do-to,medium,return_date,used,Usada para retorno ao cargo
SRC_RJ_2026_01_A,RJ_2026_01,news,Agencia Brasil,agenciabrasil.ebc.com.br,Entenda o que acontece no Rio com a renuncia de Claudio Castro,2026-03-24,https://agenciabrasil.ebc.com.br/politica/noticia/2026-03/entenda-o-que-acontece-no-rio-com-renuncia-de-claudio-castro,high,renunciation_context,used,Caso limítrofe para o inventario
SRC_RJ_2026_01_B,RJ_2026_01,news,TSE,tse.jus.br,TSE torna inelegivel ex-governador do Rio Claudio Castro,2026-03-24,https://www.tse.jus.br/comunicacao/noticias/2026/Marco/tse-torna-inelegivel-ex-governador-do-rio-claudio-castro,high,post_renunciation_judgment,used,O TSE registra que a cassacao seria cabivel se ele nao tivesse renunciado
SRC_DATA_001,DATA,methodology,MTE,gov.br,Nota Tecnica sobre o Novo CAGED,2021-11-30,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/estatisticas-trabalho/notas-tecnicas/1822-nota-tecnica-sobre-o-novo-caged-11-2021,high,employment_series_design,used,Confirma quebra metodologica a partir de janeiro de 2020 e uso do eSocial no Novo Caged
SRC_DATA_002,DATA,metadata,IBGE,ibge.gov.br,Pesquisa Mensal de Comercio,2025-05-01,https://www.ibge.gov.br/estatisticas/todos-os-produtos-estatisticas/9227-pesquisa-mensal-de-comercio.html,high,retail_outcome_coverage,used,PMC com indicadores por UF e historico longo
SRC_DATA_003,DATA,metadata,IBGE,ibge.gov.br,Pesquisa Mensal de Servicos,2025-11-01,https://www.ibge.gov.br/estatisticas/economicas/servicos/9229-pesquisa-mensal-de-servicos.html,high,services_outcome_coverage,used,PMS geral para 27 UFs desde 2012 e detalhamento setorial apenas para subconjunto
SRC_DATA_004,DATA,metadata,IBGE,sidra.ibge.gov.br,PMS tabelas SIDRA,2025-05-01,https://sidra.ibge.gov.br/pesquisa/pms/tabelas,high,services_series_scope,used,Confirma tabela 5906 para BR e UF com serie desde janeiro de 2011
SRC_DATA_005,DATA,metadata,IBGE,sidra.ibge.gov.br,PMC tabelas SIDRA,2025-05-01,https://sidra.ibge.gov.br/pesquisa/pmc/tabelas,high,retail_series_scope,used,Confirma serie por UF desde janeiro de 2000
SRC_DATA_006,DATA,metadata,BCB,bcb.gov.br,Indice de Atividade Economica Regional revisao metodologica,2017-04-01,https://www.bcb.gov.br/pec/boletimregional/port/2017/04/br201704b3p.pdf,high,ibcr_coverage,used,Confirma divulgacao mensal para 13 UFs e cinco regioes desde 2003
SRC_DATA_007,DATA,metadata,BCB,bcb.gov.br,Calendar IC-Br IBC-Br e IBCR,2026-05-08,https://www.bcb.gov.br/en/statistics/calendar-selectedindicators,medium,ibcr_current_publication,used,Confirma divulgacao corrente do IBCR
SRC_DATA_008,DATA,metadata,Siconfi,siconfi.tesouro.gov.br,Tabela de Fatos RREO Estados 2024,2024-11-01,https://siconfi.tesouro.gov.br/siconfi/pages/public/arquivo/conteudo/2024_Tabela_de_Fatos_RREO_Estados.pdf,high,public_finance_variable_mapping,used,Confirma existencia de despesas liquidadas por funcao/subfuncao e investimento no RREO dos estados
